
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
70-0058                          J1                                38   1      1   1   1 3           7 0 SD_CMD              (4152-8-13)
70-0058                          J1                                38   1      2   2   1 7          11 0 SD_D0               (4152-6-13)
70-0058                          J1                                38   1      3   3   1 8          12 0                     (0-0-0)
70-0058                          J1                                38   1      4   4   1 1           5 0                     (0-0-0)
70-0058                          J1                                38   1      5   5   1 2           6 0                     (0-0-0)
70-0058                          J1                                38   1      6   6   1 6          10 0 GND                 (43-1-13)
70-0058                          J1                                38   1      7   7   1 5           9 0 SD_SCK              (4152-7-13)
70-0058                          J1                                38   1      8   8   1 GND1        1 0 GND                 (43-1-13)
70-0058                          J1                                38   1      9   9   1 GND2        2 0 GND                 (43-1-13)
70-0058                          J1                                38   1     10  10   1 GND3        3 0 GND                 (43-1-13)
70-0058                          J1                                38   1     11  11   1 GND4        4 0 GND                 (43-1-13)
70-0058                          J1                                38   1     12  12   1 4           8 0 VCC                 (43-2-13)
70-0066                          J2                                57   1      1   1   1 MA          1 0 GND                 (43-1-13)
70-0066                          J2                                57   1      2   2   1 MB          2 0 GND                 (43-1-13)
70-0066                          J2                                57   1      3   3   1 1           3 0 VBAT                (4282-1-13)
70-0066                          J2                                57   1      4   4   1 2           4 0 GND                 (43-1-13)
70-0081                          J8                                61   1      1   1   1 1           1 0 VCC                 (43-2-13)
70-0081                          J8                                61   1      2   2   1 2           2 0 SWDIO               (4152-10-13)
70-0081                          J8                                61   1      3   3   1 3           3 0 GND                 (43-1-13)
70-0081                          J8                                61   1      4   4   1 4           4 0 SWCLK               (4152-9-13)
70-0081                          J8                                61   1      5   5   1 5           5 0 GND                 (43-1-13)
70-0081                          J8                                61   1      6   6   1 6           6 0                     (0-0-0)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
